2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-10-02 10:20:43,927 INFO  [Timer-0] - [analytics] - 2894.18,2893.09,2893.09
2019-10-02 10:21:13,905 INFO  [Timer-0] - [analytics] - 2893.09,2892.29,2892.29
2019-10-02 10:21:44,007 INFO  [Timer-0] - [analytics] - 2892.29,2891.15,2891.15
2019-10-02 10:22:14,087 INFO  [Timer-0] - [analytics] - 2891.15,2891.05,2891.05
2019-10-02 10:22:43,984 INFO  [Timer-0] - [analytics] - 2891.05,2891.05,2891.05
2019-10-02 10:23:13,933 INFO  [Timer-0] - [analytics] - 2891.05,2891.05,2891.05
2019-10-02 10:23:43,986 INFO  [Timer-0] - [analytics] - 2893.21,2891.05,2893.21
2019-10-02 10:24:13,911 INFO  [Timer-0] - [analytics] - 2894.25,2893.21,2894.25
2019-10-02 10:24:43,958 INFO  [Timer-0] - [analytics] - 2894.25,2893.82,2893.82
2019-10-02 10:25:14,009 INFO  [Timer-0] - [analytics] - 2893.93,2893.82,2893.93
2019-10-02 10:25:44,005 INFO  [Timer-0] - [analytics] - 2893.93,2892.81,2892.81
2019-10-02 10:26:13,864 INFO  [Timer-0] - [analytics] - 2892.81,2892.52,2892.52
2019-10-02 10:26:43,936 INFO  [Timer-0] - [analytics] - 2892.52,2891.63,2891.63
2019-10-02 10:27:13,922 INFO  [Timer-0] - [analytics] - 2891.63,2890.48,2890.48
2019-10-02 10:27:43,933 INFO  [Timer-0] - [analytics] - 2890.65,2890.48,2890.65
2019-10-02 10:28:13,999 INFO  [Timer-0] - [analytics] - 2890.93,2890.65,2890.93
2019-10-02 10:28:43,978 INFO  [Timer-0] - [analytics] - 2891.37,2890.93,2891.37
2019-10-02 10:29:13,930 INFO  [Timer-0] - [analytics] - 2891.37,2889.91,2889.91
2019-10-02 10:29:43,954 INFO  [Timer-0] - [analytics] - 2889.91,2889.85,2889.85
2019-10-02 10:30:13,805 INFO  [Timer-0] - [analytics] - 2890.87,2889.85,2890.87
2019-10-02 10:30:43,813 INFO  [Timer-0] - [analytics] - 2890.87,2889.69,2889.69
2019-10-02 10:31:13,819 INFO  [Timer-0] - [analytics] - 2889.69,2886.53,2886.53
2019-10-02 10:31:43,811 INFO  [Timer-0] - [analytics] - 2886.53,2885.87,2885.87
2019-10-02 10:32:13,814 INFO  [Timer-0] - [analytics] - 2885.87,2885.55,2885.55
2019-10-02 10:32:44,000 INFO  [Timer-0] - [analytics] - 2886.81,2885.55,2886.81
2019-10-02 10:33:13,958 INFO  [Timer-0] - [analytics] - 2886.81,2886.37,2886.37
2019-10-02 10:33:43,921 INFO  [Timer-0] - [analytics] - 2886.37,2885.98,2885.98
2019-10-02 10:34:13,953 INFO  [Timer-0] - [analytics] - 2886.45,2885.98,2886.45
